,two_GRU_two_Linear,two_LSTM_one_CNN_two_Linear,two_LSTM_two_Linear,two_LSTM_one_Linear,two_LSTM_three_Linear,two_GRU_three_LSTM,USA
2000-47,0.024090761,0.02506209,0.027387474,0.03269805,0.026413536,0.030445777,0.0
2000-48,0.025301684,0.027385283,0.027896088,0.03193987,0.026791764,0.031089418,0.0
2000-49,0.02640395,0.028089182,0.028510235,0.0323312,0.027391184,0.031363316,0.0
2000-50,0.029092088,0.028940612,0.028790575,0.035564184,0.028373905,0.031973496,0.0
2000-51,0.03012443,0.030097358,0.029550295,0.04023864,0.02944778,0.03265594,0.0
2000-52,0.031682305,0.031206824,0.029872313,0.04718689,0.031315684,0.033936918,0.0
2001-01,0.032426868,0.034078438,0.030306336,0.05289316,0.03332866,0.03494461,0.0
2001-02,0.031384178,0.034822583,0.030358434,0.04938437,0.035878457,0.036040172,0.0
2001-03,0.029290183,0.03343153,0.030045899,0.047666267,0.036288764,0.036885582,0.0
2001-04,0.028804881,0.033069063,0.029633718,0.044837065,0.03400504,0.036670655,0.0
2001-05,0.028494826,0.031756986,0.029033506,0.041590653,0.03112504,0.03699491,0.0
2001-06,0.02770682,0.029196933,0.028832553,0.041791655,0.0307684,0.036758594,0.0
2001-07,0.027672542,0.02770884,0.028641406,0.04215739,0.031165455,0.03706491,0.0
2001-08,0.027055973,0.02651506,0.0283193,0.04248091,0.03141718,0.036861055,0.0
2001-09,0.027143123,0.025569815,0.028156232,0.04125233,0.03048661,0.036294073,0.0
2001-10,0.025642129,0.025379933,0.02778389,0.038900904,0.030349428,0.0358605,0.0
2001-11,0.025751436,0.024624849,0.02704591,0.03629002,0.028096281,0.034295633,0.0
2001-12,0.024297241,0.024582192,0.026718892,0.033356763,0.026830656,0.03241338,0.0
2001-13,0.023425912,0.023818124,0.026365608,0.032232188,0.026758375,0.031235464,0.0
2001-15,0.023178548,0.023088293,0.025861673,0.03164059,0.026491959,0.03036853,0.0
2001-16,0.022459518,0.023017332,0.02525593,0.030277744,0.026513597,0.029162347,0.0
2001-17,0.02274859,0.021924756,0.02493734,0.03001611,0.0262449,0.02837693,0.0
2001-18,0.023341961,0.01976299,0.024948318,0.02831515,0.025547909,0.027705528,0.0
2001-19,0.023179077,0.018987628,0.024696253,0.028137006,0.024725467,0.02726531,0.0
2001-20,0.022914333,0.01934577,0.024766684,0.029416345,0.024959236,0.026442602,0.0
2001-21,0.022498043,0.019294204,0.024995755,0.028359085,0.025278928,0.025557414,0.0
2001-22,0.0222609,0.019419054,0.025223274,0.029704846,0.02556851,0.026105799,0.0
2001-23,0.022683112,0.019926008,0.025722627,0.030054167,0.025687426,0.026247732,0.0
2001-24,0.022756062,0.020022254,0.026108176,0.029792376,0.02558191,0.026535533,0.0
2001-25,0.02314568,0.020727657,0.026361145,0.030315906,0.025572546,0.027045108,0.0
2001-26,0.023179106,0.020764304,0.026406135,0.030285679,0.02532115,0.0272694,0.0
2001-27,0.022909284,0.021060046,0.026283663,0.030854665,0.025465727,0.027573384,0.0
2001-28,0.022928596,0.021180784,0.026381135,0.03119243,0.025752656,0.02781491,0.0
2001-29,0.023004025,0.021619238,0.026587348,0.0311585,0.025903061,0.02829922,0.0
2001-30,0.023192167,0.022123482,0.026753299,0.031432286,0.0259099,0.0286491,0.0
2001-31,0.023395859,0.022540104,0.026888683,0.03157355,0.025963085,0.028879635,0.0
2001-32,0.02360142,0.022920875,0.026988193,0.03176576,0.025874203,0.029166855,0.0
2001-33,0.023609005,0.02321947,0.027010657,0.032233678,0.025921566,0.029543355,0.0
2001-34,0.02371132,0.023197733,0.0270936,0.03220181,0.026043268,0.029495358,0.0
2001-35,0.023757773,0.02338542,0.027155746,0.032190993,0.02607672,0.029622369,0.0
2001-36,0.023879629,0.02349608,0.02720572,0.0323496,0.02602144,0.029750623,0.0
2001-37,0.023896324,0.023564454,0.02722159,0.03247594,0.026003793,0.02988308,0.0
2001-38,0.023884121,0.023562638,0.027253002,0.032541603,0.026037546,0.029875815,0.0
2001-39,0.023865927,0.023574721,0.027276631,0.032434948,0.026014606,0.02986689,0.0
2001-40,0.023948835,0.023495864,0.027266107,0.032505654,0.02606947,0.030038543,0.0
2001-43,0.024169356,0.023685556,0.027418781,0.03229489,0.026112815,0.030159205,0.0
2001-45,0.02509538,0.025251912,0.027462315,0.032802306,0.02674287,0.031005807,0.0
2001-46,0.02798373,0.029431315,0.028006528,0.03268414,0.027842319,0.032683395,0.0
